Id ,Year,Car_Name,Price,Location,Fuel_Type,Gear_Type
252,2015,Honda City VX i-VTEC,"7,35,000",Ghaziabad,Petrol,Manual
253,2022,Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT,"7,35,000",Ghaziabad,Petrol,Manual
254,2015,Hyundai i10 Magna,"2,60,000",Gurugram,Petrol,Manual
255,2019,Maruti Suzuki Ciaz Alpha 1.3 Hybrid,"10,35,000",Delhi,Diesel,Manual
256,2019,Maruti Suzuki Baleno Alpha AT 1.2,"8,20,000",Bangalore,Petrol,Automatic
257,2021,Honda Amaze 1.2 S MT Petrol Special Edition,"7,75,000",Delhi,Petrol,Manual
258,2015,Honda Brio S MT,"3,10,000",Gurugram,Petrol,Manual
259,2019,Maruti Suzuki Baleno Delta 1.2 AT,"6,59,000",Bangalore,Petrol,Automatic
260,2014,Hyundai Grand i10 Sportz 1.2 Kappa VTVT,"3,45,000",Delhi,Petrol,Manual
261,2021,Tata Harrier XZA Plus BS6,"16,45,000",Bangalore,Diesel,Automated Manual Transmission
262,2012,Toyota Fortuner 3.0 4X2 AT,"14,75,000",Bangalore,Diesel,Automatic
263,2022,Hyundai Grand i10 Nios Asta AMT 1.2 Kappa VTVT,"8,25,000",Delhi,Petrol,Automated Manual Transmission
264,2015,Mahindra XUV500 W4 1.99,"7,50,000",Bangalore,Diesel,Manual
265,2018,Skoda Rapid 1.5 TDI CR Ambition,"7,31,000",Bangalore,Diesel,Manual
266,2016,Honda BR-V V Diesel,"6,10,000",Delhi,Diesel,Manual
267,2021,Hyundai Venue SX 1.5 (O) CRDi BS6,"11,35,000",Bangalore,Diesel,Manual
268,2018,Hyundai Verna 1.6 VTVT SX,"10,00,000",Bangalore,Petrol,Manual
269,2018,Mahindra Thar CRDe 4x4,"7,50,000",Gurugram,Diesel,Manual
270,2018,Mahindra Thar CRDe 4x4,"7,50,000",Gurugram,Diesel,Manual
271,2018,Mahindra TUV300 T10,"5,99,000",Delhi,Diesel,Manual
272,2019,Kia Seltos HTE 1.5 Diesel,"8,60,000",Delhi,Diesel,Manual
273,2017,Renault Duster 110 PS RXZ 4X2 AMT,"5,00,000",Delhi,Diesel,Automatic
274,2020,Maruti Suzuki Baleno Sigma 1.2 BS6,"4,30,000",Gurugram,Petrol,Manual
275,2017,Mahindra Scorpio S10,"8,80,000",Gurugram,Diesel,Manual
276,2018,Hyundai Creta 1.4 S Diesel,"6,00,000",Gurugram,Diesel,Manual
277,2020,Kia Sonet HTX 1.0 iMT,"7,50,000",Gurugram,Petrol,Manual
278,2018,Toyota Innova Crysta 2.8 GX AT 8 STR,"13,15,000",Gurugram,Diesel,Automatic
279,2021,Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT CNG BS6,"6,75,000",Delhi,Petrol + Cng,Manual
280,2021,Nissan Magnite XE MT,"5,75,000",Delhi,Petrol,Manual
281,2015,Hyundai Verna 1.6 CRDI SX (O),"5,50,000",Delhi,Diesel,Manual
282,2015,Toyota Innova 2.5 GX 7 STR BS III,"8,50,000",Delhi,Diesel,Manual
283,2018,Nissan Micra XV PETROL,"3,75,000",Delhi,Petrol,Manual
284,2015,Toyota Corolla Altis 1.8 VL AT,"8,25,000",Delhi,Petrol,Automatic
285,2015,Mahindra XUV500 W10,"8,25,000",Delhi,Diesel,Manual
286,2016,Mahindra XUV500 W6 AT,"9,85,000",Delhi,Diesel,Automatic
287,2015,Honda Amaze 1.2 E i-VTEC,"2,90,000",Delhi,Petrol,Manual
288,2016,Maruti Suzuki Ertiga LXi,"5,80,000",Gurugram,Petrol,Manual
289,2019,Hyundai Grand i10 Magna 1.2 Kappa VTVT,"5,10,000",Gurugram,Petrol,Manual
290,2015,Toyota Corolla Altis 1.8 G AT,"7,00,000",Gurugram,Petrol,Automatic
291,2018,Maruti Suzuki Baleno Zeta 1.2,"5,60,000",Gurugram,Petrol,Manual
292,2014,Honda Amaze 1.2 S i-VTEC,"3,40,000",Gurugram,Petrol,Manual
293,2017,Chevrolet Beat LT Petrol,"2,70,000",Gurugram,Petrol,Manual
294,2015,Maruti Suzuki Swift VXi,"3,75,000",Delhi,Petrol,Manual
295,2017,Maruti Suzuki Wagon R LXi,"3,20,000",Gurugram,Petrol,Manual
296,2016,Hyundai Creta 1.6 SX Diesel,"8,00,000",Delhi,Diesel,Manual
297,2014,Maruti Suzuki Swift DZire VXi,"4,00,000",Delhi,Petrol,Manual
298,2020,Mahindra Thar LX 4 STR Convertible Diesel MT BS6,"12,90,000",Gurugram,Diesel,Manual
299,2018,Maruti Suzuki Swift VXi,"5,20,000",Delhi,Petrol,Manual
300,2021,Kia Seltos HTK 1.5 Diesel,"10,30,000",Gurugram,Diesel,Manual
301,2021,Maruti Suzuki Baleno Delta 1.2,"5,30,000",Gurugram,Petrol,Manual
302,2016,Maruti Suzuki Ciaz Vdi,"4,75,000",Delhi,Diesel,Manual
303,2017,Maruti Suzuki Swift Dzire VDi ABS,"5,60,000",Delhi,Diesel,Manual
304,2013,Maruti Suzuki Swift Dzire VXI 1.2 BS IV,"2,75,000",Gurugram,Petrol,Manual
305,2016,Volkswagen Polo Highline 1.2L (P),"4,15,000",Gurugram,Petrol,Manual
306,2018,Toyota Innova Crysta 2.4 G 7 STR,"11,20,000",Gurugram,Diesel,Manual
307,2014,Honda Amaze 1.2 S i-VTEC,"3,60,000",Delhi,Petrol,Manual
308,2013,Volkswagen Polo Comfortline 1.2L (P),"2,75,000",Gurugram,Petrol,Manual
309,2016,Honda City 1.5 V MT,"4,80,000",Gurugram,Petrol,Manual
310,2020,Hyundai Creta 1.4 S Diesel,"10,85,000",Gurugram,Diesel,Manual
311,2016,Hyundai Grand i10 Asta AT,"3,90,000",Gurugram,Petrol,Automatic
312,2022,Tata Harrier XZ,"13,00,000",Gurugram,Diesel,Manual
313,2019,Hyundai i20 Magna 1.2,"5,00,000",Gurugram,Petrol,Manual
314,2022,Maruti Suzuki XL6 Zeta AT Petrol,"11,00,000",Gurugram,Petrol,Automatic
315,2013,Hyundai i10 Magna,"1,90,000",Gurugram,Petrol,Manual
316,2019,Honda Jazz VX i-VTEC,"5,80,000",Gurugram,Petrol,Manual
317,2023,Hyundai i20 Sportz 1.2 MT Petrol,"6,80,000",Gurugram,Petrol,Manual
318,2018,Honda Amaze 1.2 S i-VTEC,"6,90,000",Delhi,Petrol,Manual
319,2017,Maruti Suzuki Celerio VXi CNG,"4,00,000",Delhi,Petrol + Cng,Manual
320,2019,Tata Tiago Revotron XZ,"4,50,000",Delhi,Petrol,Manual
321,2024,Maruti Suzuki Brezza ZXi,"12,50,000",Delhi,Petrol,Manual
322,2019,Renault KWID 1.0 RXT AMT,"3,50,000",Delhi,Petrol,Automated Manual Transmission
323,2021,Mahindra Thar LX 4 STR Hard Top Petrol AT BS6,"13,00,000",Delhi,Petrol,Automatic
324,2019,Hyundai i20 Magna 1.2,"5,35,000",Delhi,Petrol,Manual
325,2023,MG Hector Sharp 1.5 Petrol CVT,"19,50,000",Delhi,Petrol,Automatic
326,2019,Honda City V CVT i-VTEC,"9,75,000",Delhi,Petrol,Automatic
327,2014,SKODA SUPERB Elegance 1.8 TSI AT,"7,90,000",Delhi,Petrol,Automatic
328,2019,Maruti Suzuki Baleno Alpha AT 1.2,"6,75,000",Delhi,Petrol,Automatic
329,2018,Maruti Suzuki Swift ZXi Plus,"6,20,000",Delhi,Petrol,Manual
330,2017,Mahindra XUV500 W10 AT,"9,65,000",Delhi,Diesel,Automatic
331,2016,Honda Amaze 1.2 S i-VTEC,"3,90,000",Delhi,Petrol,Manual
332,2019,Honda City ZX CVT i-VTEC,"10,25,000",Delhi,Petrol,Automatic
333,2022,Mahindra XUV700 AX 7 Petrol AT 7 STR,"22,50,000",Delhi,Petrol,Automatic
334,2011,Hyundai i20 Magna 1.2,"2,25,000",Delhi,Petrol,Manual
335,2022,MG Hector Sharp 1.5 DCT Petrol,"16,50,000",Delhi,Petrol,Automatic
336,2012,Maruti Suzuki Wagon R LXi,"2,25,000",Delhi,Petrol,Manual
337,2022,MG Gloster Savvy 2.0 Twin Turbo 7 STR 4WD,"33,00,000",Delhi,Diesel,Automatic
338,2017,Mahindra XUV500 W10 AWD AT,"8,90,000",Delhi,Diesel,Automatic
339,2016,Maruti Suzuki Swift VXi,"3,75,000",Delhi,Petrol,Manual
340,2020,MG Hector Sharp 1.5 DCT Petrol,"13,90,000",Delhi,Petrol,Automatic
341,2020,Kia Seltos HTK 1.5 Diesel,"10,75,000",Delhi,Diesel,Manual
342,2023,Mahindra Thar LX 4 STR Hard Top Diesel AT,"15,25,000",Delhi,Diesel,Automatic
343,2013,Maruti Suzuki Swift DZire VXi,"3,50,000",Delhi,Petrol,Manual
344,2017,Toyota Corolla Altis 1.8 VL AT,"10,55,000",Delhi,Petrol,Automatic
345,2014,Hyundai Grand i10 Sportz 1.2 Kappa VTVT,"3,00,000",Delhi,Petrol,Manual
346,2019,Mahindra Scorpio S11 2WD 7 SEATER,"13,00,000",Delhi,Diesel,Manual
347,2018,Toyota Innova Crysta 2.4 VX 7 STR,"15,50,000",Delhi,Diesel,Manual
348,2015,Mahindra XUV500 W10,"6,00,000",Delhi,Diesel,Manual
349,2018,Maruti Suzuki S-Cross Zeta 1.3,"6,50,000",Delhi,Diesel,Manual
350,2017,Ford Figo Aspire Titanium1.5 TDCi,"3,50,000",Delhi,Diesel,Manual
351,2012,Toyota Corolla Altis 1.8 G,"3,40,000",Delhi,Petrol,Manual
352,2017,Maruti Suzuki Ertiga VDi SHVS,"6,50,000",Delhi,Diesel,Manual
353,2016,Mahindra XUV500 W10,"7,50,000",Delhi,Diesel,Manual
354,2012,Nissan Micra XV PETROL,"2,00,000",Delhi,Petrol,Manual
355,2018,Mahindra Bolero Pick UP FB 1.5T BS IV,"4,40,000",Delhi,Diesel,Manual
356,2020,Mahindra Scorpio S11 BS6,"14,50,000",Delhi,Diesel,Manual
357,2015,Mahindra XUV500 W6,"5,75,000",Delhi,Diesel,Manual
358,2018,Honda Amaze 1.5 S i-DTEC,"6,00,000",Delhi,Diesel,Manual
359,2014,Honda Amaze 1.2 S i-VTEC,"3,40,000",Delhi,Petrol,Manual
360,2017,Maruti Suzuki Swift DZire VDi (O),"5,25,000",Delhi,Diesel,Manual
361,2017,Volkswagen Ameo Highline Plus 1.5L (D) AT,"5,25,000",Delhi,Diesel,Automatic
362,2019,Hyundai Creta 1.6 SX AT Petrol,"11,00,000",Delhi,Petrol,Automatic
363,2011,Honda Accord 2.4 i-VTEC MT,"3,20,000",Delhi,Petrol,Manual
364,2019,Maruti Suzuki Swift ZXi Plus AMT,"6,30,000",Delhi,Petrol,Automated Manual Transmission
365,2020,Honda Amaze 1.2 S i-VTEC,"6,00,000",Delhi,Petrol,Manual
366,2017,Honda City 1.5 V MT,"7,00,000",Delhi,Petrol,Manual
367,2019,Hyundai Creta 1.6 SX Petrol,"10,75,000",Delhi,Petrol,Manual
368,2021,Maruti Suzuki Baleno Zeta 1.2,"6,99,000",Delhi,Petrol,Manual
369,2019,Tata Tiago Revotron XZ (O),"5,25,000",Delhi,Petrol,Manual
370,2016,Honda City VX CVT,"6,00,000",Delhi,Petrol,Automatic
371,2015,Honda City VX CVT,"6,10,000",Delhi,Petrol,Automatic
372,2019,Mahindra Marazzo M6 7 STR,"7,10,000",Delhi,Diesel,Manual
373,2013,Toyota Innova 2.5 Z 7 SEATER,"6,00,000",Gurugram,Diesel,Manual
374,2024,Maruti Suzuki Baleno Zeta MT CNG,"8,45,000",Gurugram,Cng,Manual
375,2015,Hyundai Grand i10 Sportz 1.1 CRDi,"3,70,000",Gurugram,Diesel,Manual
376,2017,Maruti Suzuki Swift VXi,"4,70,000",Gurugram,Petrol,Manual
377,2015,Ford Aspire Titanium 1.2 Ti-VCT,"3,30,000",Gurugram,Petrol,Manual
378,2019,Maruti Suzuki Celerio VXi CNG,"5,00,000",Gurugram,Petrol + Cng,Manual
379,2014,Hyundai Xcent SX 1.2,"3,30,000",Gurugram,Petrol,Manual
380,2013,Hyundai Verna 1.6 CRDI EX,"3,80,000",Gurugram,Diesel,Manual
381,2016,Honda Amaze 1.2 S i-VTEC,"4,70,000",Gurugram,Petrol,Manual
382,2014,Honda City S i-VTEC,"4,60,000",Gurugram,Petrol,Manual
383,2011,Toyota Etios G,"2,30,000",Gurugram,Petrol,Manual
384,2017,Hyundai Creta 1.6 E+ Petrol,"7,60,000",Gurugram,Petrol,Manual
385,2011,Hyundai i10 Magna 1.2,"1,85,000",Gurugram,Petrol,Manual
386,2012,Hyundai Verna 1.6 CRDI EX,"3,70,000",Gurugram,Diesel,Manual
387,2012,Maruti Suzuki Swift DZire VXi,"2,80,000",Gurugram,Petrol,Manual
388,2017,Ford EcoSport Ambiente 1.5L TDCi,"4,60,000",Gurugram,Diesel,Manual
389,2014,Maruti Suzuki Swift DZire VXi,"3,40,000",Gurugram,Petrol,Manual
390,2013,Maruti Suzuki Wagon R LXi,"2,55,000",Gurugram,Petrol,Manual
391,2014,Toyota Etios Liva GD,"4,20,000",Gurugram,Diesel,Manual
392,2012,Honda City VX CVT i-VTEC,"3,70,000",Delhi,Petrol,Automatic
393,2015,Renault Duster 110 PS RXZ DIESEL OPT,"4,30,000",Delhi,Diesel,Manual
394,2011,Toyota Corolla Altis 1.8 G,"3,00,000",Delhi,Petrol,Manual
395,2018,Maruti Suzuki Vitara Brezza LDi,"5,90,000",Delhi,Diesel,Manual
396,2017,Renault Duster 110 PS RXL 4X2 Diesel AMT,"4,95,000",Delhi,Diesel,Automated Manual Transmission
397,2018,Hyundai i20 1.2 Asta,"5,75,000",Delhi,Petrol,Manual
398,2015,Nissan Terrano XL D,"3,75,000",Delhi,Diesel,Manual
399,2015,Honda City 1.5 V MT,"5,25,000",Delhi,Petrol,Manual
400,2012,Honda City 1.5 V MT,"3,25,000",Delhi,Petrol,Manual
401,2015,Renault Duster 110 PS RXL,"3,70,000",Delhi,Diesel,Manual
402,2017,Maruti Suzuki Baleno Sigma 1.2,"4,60,000",Delhi,Petrol,Manual
403,2015,Maruti Suzuki Celerio VXi AT,"3,25,000",Delhi,Petrol,Automatic
404,2014,Honda Amaze 1.2 S i-VTEC,"3,50,000",Delhi,Petrol,Manual
405,2017,Maruti Suzuki Baleno Sigma 1.2,"4,50,000",Delhi,Petrol,Manual
406,2017,Maruti Suzuki Ciaz Sigma 1.4 MT,"5,00,000",Delhi,Petrol,Manual
407,2014,Maruti Suzuki Ciaz ZDI,"4,50,000",Delhi,Diesel,Manual
408,2017,Maruti Suzuki Dzire VDi,"5,25,000",Delhi,Diesel,Manual
409,2016,Maruti Suzuki Ertiga ZDi + SHVS,"6,60,000",Delhi,Diesel,Manual
410,2018,Tata Nexon Revotorq XZ Plus,"6,00,000",Delhi,Diesel,Manual
411,2017,Mahindra Scorpio S10,"10,00,000",Delhi,Diesel,Manual
412,2017,Mahindra Bolero SLE,"5,40,000",Delhi,Diesel,Manual
413,2015,Maruti Suzuki Celerio Zxi,"3,25,000",Delhi,Petrol,Manual
414,2016,Maruti Suzuki Baleno Delta 1.2,"5,15,000",Delhi,Petrol,Manual
415,2016,Maruti Suzuki Swift VXi,"4,35,000",Delhi,Petrol,Manual
416,2013,Maruti Suzuki Swift VXi,"3,00,000",Delhi,Petrol,Manual
417,2017,Hyundai Grand i10 Sportz 1.1 CRDi,"4,95,000",Delhi,Diesel,Manual
418,2016,Maruti Suzuki Alto K10 LXi CNG,"3,15,000",Delhi,Petrol + Cng,Manual
419,2018,Hyundai Verna FLUIDIC 1.6 CRDI SX (O),"8,00,000",Delhi,Diesel,Manual
420,2012,Maruti Suzuki Swift DZire VXi,"2,95,000",Delhi,Petrol,Manual
